"Plot Title: OL_3"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983453, SEN S/N: 10983453, LBL: Light_3)","Occupancy (LGR S/N: 10983453, SEN S/N: 10983453, LBL: Occ_3)"
141,07/23/22 10:03:44 AM,,1.00
142,07/23/22 10:04:57 AM,,0.00
143,07/23/22 07:50:11 PM,,1.00
144,07/23/22 07:52:19 PM,,0.00
145,07/24/22 07:45:35 AM,1.00,
146,07/24/22 07:46:48 AM,0.00,
147,07/24/22 08:33:38 AM,1.00,
148,07/24/22 08:35:37 AM,0.00,
149,07/24/22 08:35:57 AM,1.00,
150,07/24/22 08:37:11 AM,0.00,
151,07/24/22 08:39:28 AM,1.00,
152,07/24/22 08:43:18 AM,0.00,
153,07/24/22 08:44:06 AM,1.00,
154,07/24/22 08:50:46 AM,,1.00
155,07/24/22 08:51:49 AM,,0.00
156,07/24/22 09:49:16 AM,0.00,
157,07/24/22 12:04:18 PM,,1.00
158,07/24/22 12:05:18 PM,,0.00
159,07/24/22 01:21:30 PM,,1.00
160,07/24/22 01:22:44 PM,,0.00
161,07/24/22 01:38:53 PM,,1.00
162,07/24/22 01:41:31 PM,,0.00
163,07/24/22 04:32:07 PM,,1.00
164,07/24/22 04:33:25 PM,,0.00
165,07/24/22 06:11:06 PM,,1.00
166,07/24/22 06:12:49 PM,,0.00
167,07/24/22 07:33:42 PM,,1.00
168,07/24/22 07:35:11 PM,,0.00
169,07/24/22 08:49:25 PM,,1.00
170,07/24/22 08:51:33 PM,,0.00
171,07/25/22 07:14:30 AM,,1.00
172,07/25/22 07:19:41 AM,,0.00
173,07/25/22 07:22:07 AM,,1.00
174,07/25/22 07:23:10 AM,,0.00
175,07/25/22 07:27:03 AM,,1.00
176,07/25/22 07:27:16 AM,0.00,1.00
