"Plot Title: OLS_5"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983452, SEN S/N: 10983452, LBL: Light_5)","Occupancy (LGR S/N: 10983452, SEN S/N: 10983452, LBL: Occ_5)"
141,07/20/22 07:08:17 AM,,0.00
142,07/20/22 07:08:32 AM,,1.00
143,07/20/22 07:10:17 AM,,0.00
144,07/20/22 07:10:26 AM,,1.00
145,07/20/22 07:11:54 AM,,0.00
146,07/20/22 07:13:15 AM,,1.00
147,07/20/22 07:15:14 AM,,0.00
148,07/20/22 07:21:00 AM,,1.00
149,07/20/22 07:22:00 AM,,0.00
150,07/20/22 07:22:19 AM,,1.00
151,07/20/22 07:25:12 AM,,0.00
152,07/20/22 07:25:50 AM,,1.00
153,07/20/22 07:27:49 AM,,0.00
154,07/20/22 07:48:04 AM,,1.00
155,07/20/22 07:51:50 AM,,0.00
156,07/20/22 07:54:18 AM,,1.00
157,07/20/22 07:59:08 AM,,0.00
158,07/20/22 11:47:03 AM,,1.00
159,07/20/22 11:48:33 AM,,0.00
160,07/20/22 11:48:52 AM,,1.00
161,07/20/22 11:49:59 AM,,0.00
162,07/20/22 11:50:00 AM,,1.00
163,07/20/22 11:59:14 AM,,0.00
164,07/20/22 11:59:29 AM,,1.00
165,07/20/22 12:04:00 PM,,0.00
166,07/20/22 12:04:13 PM,,1.00
167,07/20/22 12:06:34 PM,,0.00
168,07/20/22 12:10:42 PM,,1.00
169,07/20/22 12:14:15 PM,,0.00
170,07/20/22 12:14:33 PM,,1.00
171,07/20/22 12:17:11 PM,,0.00
172,07/20/22 12:19:30 PM,,1.00
173,07/20/22 12:22:30 PM,,0.00
174,07/20/22 12:22:54 PM,,1.00
175,07/20/22 12:25:59 PM,,0.00
176,07/20/22 12:26:09 PM,,1.00
177,07/20/22 12:27:36 PM,,0.00
178,07/20/22 12:30:25 PM,,1.00
179,07/20/22 12:32:53 PM,,0.00
180,07/20/22 12:36:39 PM,,1.00
181,07/20/22 12:38:17 PM,,0.00
182,07/20/22 12:38:41 PM,,1.00
183,07/20/22 12:39:46 PM,,0.00
184,07/20/22 05:28:48 PM,,1.00
185,07/20/22 05:30:02 PM,,0.00
186,07/20/22 05:46:48 PM,,1.00
187,07/20/22 05:47:56 PM,,0.00
188,07/20/22 05:54:15 PM,,1.00
189,07/20/22 05:56:46 PM,,0.00
190,07/20/22 06:06:52 PM,,1.00
191,07/20/22 06:08:04 PM,,0.00
192,07/20/22 06:08:15 PM,,1.00
193,07/20/22 06:11:28 PM,,0.00
194,07/20/22 06:16:21 PM,,1.00
195,07/20/22 06:18:05 PM,,0.00
196,07/20/22 06:31:11 PM,,1.00
197,07/20/22 06:31:39 PM,1.00,
198,07/20/22 06:31:41 PM,0.00,
199,07/20/22 06:33:05 PM,,0.00
200,07/20/22 06:33:37 PM,,1.00
201,07/20/22 06:39:49 PM,,0.00
202,07/20/22 06:40:19 PM,,1.00
203,07/20/22 06:43:42 PM,,0.00
204,07/20/22 06:44:01 PM,,1.00
205,07/20/22 06:48:07 PM,,0.00
206,07/20/22 06:48:56 PM,,1.00
207,07/20/22 06:58:40 PM,,0.00
208,07/20/22 06:59:20 PM,,1.00
209,07/20/22 07:01:43 PM,,0.00
210,07/20/22 07:06:38 PM,,1.00
211,07/20/22 07:07:39 PM,,0.00
212,07/20/22 07:08:37 PM,,1.00
213,07/20/22 07:09:49 PM,,0.00
214,07/20/22 07:10:34 PM,,1.00
215,07/20/22 07:13:54 PM,,0.00
216,07/20/22 07:14:14 PM,,1.00
217,07/20/22 07:15:15 PM,,0.00
218,07/20/22 07:18:08 PM,,1.00
219,07/20/22 07:20:19 PM,,0.00
220,07/20/22 07:20:33 PM,,1.00
221,07/20/22 07:24:04 PM,,0.00
222,07/20/22 07:25:39 PM,,1.00
223,07/20/22 07:26:39 PM,,0.00
224,07/20/22 07:26:48 PM,,1.00
225,07/20/22 07:27:48 PM,,0.00
226,07/20/22 07:37:20 PM,,1.00
227,07/20/22 07:39:24 PM,,0.00
228,07/20/22 07:40:28 PM,,1.00
229,07/20/22 07:41:34 PM,,0.00
230,07/20/22 08:07:23 PM,,1.00
231,07/20/22 08:08:34 PM,,0.00
232,07/20/22 08:11:02 PM,,1.00
233,07/20/22 08:20:02 PM,,0.00
234,07/20/22 08:20:13 PM,,1.00
235,07/20/22 08:24:25 PM,,0.00
236,07/20/22 08:28:15 PM,,1.00
237,07/20/22 08:29:38 PM,,0.00
238,07/20/22 09:40:55 PM,,1.00
239,07/20/22 09:44:37 PM,,0.00
240,07/20/22 09:44:53 PM,,1.00
241,07/20/22 09:46:02 PM,,0.00
242,07/20/22 09:46:28 PM,,1.00
243,07/20/22 09:52:07 PM,,0.00
244,07/20/22 09:52:28 PM,,1.00
245,07/20/22 09:56:03 PM,,0.00
246,07/20/22 09:56:11 PM,,1.00
247,07/20/22 09:59:21 PM,,0.00
248,07/20/22 10:03:04 PM,,1.00
249,07/20/22 10:09:45 PM,,0.00
250,07/20/22 10:27:44 PM,,1.00
251,07/20/22 10:29:29 PM,,0.00
252,07/20/22 11:28:02 PM,,1.00
253,07/20/22 11:30:17 PM,,0.00
254,07/20/22 11:31:23 PM,,1.00
255,07/20/22 11:34:43 PM,,0.00
256,07/20/22 11:35:34 PM,,1.00
257,07/20/22 11:37:05 PM,,0.00
258,07/20/22 11:37:18 PM,,1.00
259,07/20/22 11:38:18 PM,,0.00
260,07/20/22 11:39:05 PM,,1.00
261,07/20/22 11:41:06 PM,,0.00
262,07/20/22 11:41:07 PM,,1.00
263,07/20/22 11:42:12 PM,,0.00
264,07/20/22 11:42:29 PM,,1.00
265,07/20/22 11:44:11 PM,,0.00
266,07/20/22 11:44:12 PM,,1.00
267,07/20/22 11:48:27 PM,,0.00
268,07/20/22 11:48:41 PM,,1.00
269,07/20/22 11:50:09 PM,,0.00
270,07/20/22 11:50:39 PM,,1.00
271,07/20/22 11:53:48 PM,,0.00
272,07/20/22 11:54:21 PM,,1.00
273,07/20/22 11:55:21 PM,,0.00
274,07/20/22 11:55:26 PM,,1.00
275,07/20/22 11:56:27 PM,,0.00
276,07/21/22 12:04:52 AM,,1.00
277,07/21/22 12:05:53 AM,,0.00
278,07/21/22 12:08:33 AM,,1.00
279,07/21/22 12:09:33 AM,,0.00
280,07/21/22 12:10:10 AM,,1.00
281,07/21/22 12:12:06 AM,,0.00
282,07/21/22 12:16:35 AM,,1.00
283,07/21/22 12:17:42 AM,,0.00
284,07/21/22 12:19:05 AM,,1.00
285,07/21/22 12:20:28 AM,,0.00
286,07/21/22 12:20:42 AM,,1.00
287,07/21/22 12:29:20 AM,,0.00
288,07/21/22 01:15:08 AM,,1.00
289,07/21/22 01:17:39 AM,,0.00
290,07/21/22 01:18:39 AM,,1.00
291,07/21/22 01:20:32 AM,,0.00
292,07/21/22 01:21:07 AM,,1.00
293,07/21/22 01:23:51 AM,,0.00
294,07/21/22 01:28:08 AM,,1.00
295,07/21/22 01:30:51 AM,,0.00
296,07/21/22 01:32:51 AM,,1.00
297,07/21/22 01:33:52 AM,,0.00
298,07/21/22 01:35:31 AM,,1.00
299,07/21/22 01:36:31 AM,,0.00
300,07/21/22 01:39:23 AM,,1.00
301,07/21/22 01:40:27 AM,,0.00
302,07/21/22 02:43:23 AM,,1.00
303,07/21/22 02:45:00 AM,,0.00
304,07/21/22 02:58:08 AM,,1.00
305,07/21/22 02:59:16 AM,,0.00
306,07/21/22 03:07:00 AM,,1.00
307,07/21/22 03:08:05 AM,,0.00
308,07/21/22 03:39:11 AM,,1.00
309,07/21/22 03:40:21 AM,,0.00
310,07/21/22 03:40:41 AM,,1.00
311,07/21/22 03:41:43 AM,,0.00
312,07/21/22 03:56:05 AM,,1.00
313,07/21/22 03:57:05 AM,,0.00
314,07/21/22 03:58:07 AM,,1.00
315,07/21/22 04:00:03 AM,,0.00
316,07/21/22 04:18:36 AM,,1.00
317,07/21/22 04:19:58 AM,,0.00
318,07/21/22 07:50:24 AM,,1.00
319,07/21/22 07:51:59 AM,,0.00
320,07/21/22 08:30:20 AM,,1.00
321,07/21/22 08:31:32 AM,,0.00
322,07/21/22 08:33:00 AM,,1.00
323,07/21/22 08:35:42 AM,,0.00
324,07/21/22 08:39:04 AM,,1.00
325,07/21/22 08:40:35 AM,,0.00
326,07/21/22 08:40:40 AM,,1.00
327,07/21/22 08:50:08 AM,,0.00
328,07/21/22 08:51:19 AM,,1.00
329,07/21/22 08:56:45 AM,,0.00
330,07/21/22 08:57:17 AM,,1.00
331,07/21/22 09:10:32 AM,,0.00
332,07/21/22 09:10:55 AM,,1.00
333,07/21/22 09:16:44 AM,,0.00
334,07/21/22 09:16:58 AM,,1.00
335,07/21/22 09:19:50 AM,,0.00
336,07/21/22 09:32:27 AM,,1.00
337,07/21/22 09:33:48 AM,,0.00
338,07/21/22 09:40:08 AM,,1.00
339,07/21/22 09:46:10 AM,,0.00
340,07/21/22 10:09:11 AM,,1.00
341,07/21/22 10:13:56 AM,,0.00
342,07/21/22 10:15:00 AM,,1.00
343,07/21/22 10:20:32 AM,,0.00
344,07/21/22 10:21:14 AM,,1.00
345,07/21/22 10:52:19 AM,,0.00
346,07/21/22 10:53:23 AM,,1.00
347,07/21/22 10:55:34 AM,,0.00
348,07/21/22 10:56:20 AM,,1.00
349,07/21/22 10:57:26 AM,,0.00
350,07/21/22 10:59:17 AM,,1.00
351,07/21/22 11:00:17 AM,,0.00
352,07/21/22 11:02:39 AM,,1.00
353,07/21/22 11:07:13 AM,,0.00
354,07/21/22 11:07:41 AM,,1.00
355,07/21/22 11:12:32 AM,,0.00
356,07/21/22 11:12:39 AM,,1.00
357,07/21/22 11:21:46 AM,,0.00
358,07/21/22 11:21:58 AM,,1.00
359,07/21/22 11:22:58 AM,,0.00
360,07/21/22 11:23:34 AM,,1.00
361,07/21/22 11:24:50 AM,,0.00
362,07/21/22 01:11:50 PM,,1.00
363,07/21/22 01:14:45 PM,,0.00
364,07/21/22 03:04:46 PM,,1.00
365,07/21/22 03:15:34 PM,,0.00
366,07/21/22 03:16:28 PM,,1.00
367,07/21/22 03:17:51 PM,,0.00
368,07/21/22 03:17:57 PM,,1.00
369,07/21/22 03:21:42 PM,,0.00
370,07/21/22 03:26:50 PM,,1.00
371,07/21/22 03:28:06 PM,,0.00
372,07/21/22 03:29:12 PM,,1.00
373,07/21/22 03:30:13 PM,,0.00
374,07/21/22 03:37:42 PM,,1.00
375,07/21/22 03:38:43 PM,,0.00
376,07/21/22 03:40:37 PM,,1.00
377,07/21/22 03:42:42 PM,,0.00
378,07/21/22 03:42:50 PM,,1.00
379,07/21/22 03:43:56 PM,,0.00
380,07/21/22 03:45:34 PM,,1.00
381,07/21/22 03:46:51 PM,,0.00
382,07/21/22 03:47:19 PM,,1.00
383,07/21/22 03:48:20 PM,,0.00
384,07/21/22 03:49:51 PM,,1.00
385,07/21/22 03:52:14 PM,,0.00
386,07/21/22 03:53:46 PM,,1.00
387,07/21/22 03:55:47 PM,,0.00
388,07/21/22 03:57:40 PM,,1.00
389,07/21/22 03:59:31 PM,,0.00
390,07/21/22 03:59:39 PM,,1.00
391,07/21/22 04:00:40 PM,,0.00
392,07/21/22 04:01:27 PM,,1.00
393,07/21/22 04:03:04 PM,,0.00
394,07/21/22 04:06:28 PM,,1.00
395,07/21/22 04:07:29 PM,,0.00
396,07/21/22 04:10:32 PM,,1.00
397,07/21/22 04:11:34 PM,,0.00
398,07/21/22 04:13:03 PM,,1.00
399,07/21/22 04:14:20 PM,,0.00
400,07/21/22 04:18:12 PM,,1.00
401,07/21/22 04:19:12 PM,,0.00
402,07/21/22 04:21:38 PM,,1.00
403,07/21/22 04:24:22 PM,,0.00
404,07/21/22 04:25:25 PM,,1.00
405,07/21/22 04:26:26 PM,,0.00
406,07/21/22 04:29:33 PM,,1.00
407,07/21/22 04:34:08 PM,,0.00
408,07/21/22 04:34:29 PM,,1.00
409,07/21/22 04:35:33 PM,,0.00
410,07/21/22 04:38:46 PM,,1.00
411,07/21/22 04:40:31 PM,,0.00
412,07/21/22 04:43:42 PM,,1.00
413,07/21/22 04:44:46 PM,,0.00
414,07/21/22 04:45:21 PM,,1.00
415,07/21/22 04:46:38 PM,,0.00
416,07/21/22 04:47:03 PM,,1.00
417,07/21/22 04:48:04 PM,,0.00
418,07/21/22 04:48:12 PM,,1.00
419,07/21/22 04:51:48 PM,,0.00
420,07/21/22 04:54:37 PM,,1.00
421,07/21/22 04:55:37 PM,,0.00
422,07/21/22 04:59:13 PM,,1.00
423,07/21/22 05:00:15 PM,,0.00
424,07/21/22 05:00:50 PM,,1.00
425,07/21/22 05:02:38 PM,,0.00
