Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
292,"Sunday, January 27, 2019",20:07,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.69,close,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,25.6,25.6,49,0,20,23.5,56.8
293,"Sunday, May 19, 2019",12:03,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,2,0.69,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,33.3,33.6,62,0.16,26,31.4,56.8
294,"Sunday, May 19, 2019",19:44,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.69,close,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,32.5,32.9,63.1,0.74,27,31.4,56.8
295,"Sunday, September 2, 2018",12:15,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,27.3,28.8,77.3,0.37,28,24.5,56.8
296,"Sunday, September 2, 2018",16:33,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,28.4,29.4,75.4,0.96,15,24.5,56.8
297,"Sunday, September 2, 2018",19:19,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.4,28.1,76.9,0.37,45,24.5,56.8
298,"Sunday, January 27, 2019",12:27,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.71,open ,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,26.4,26.2,56.1,0,84,23.5,56.8
299,"Sunday, January 27, 2019",17:18,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.3,close,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,26.8,27.1,43.2,0.3,10,23.5,56.8
300,"Sunday, January 27, 2019",20:14,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.3,open ,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,26,26.2,48.6,0,21,23.5,56.8
301,"Sunday, May 19, 2019",12:07,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.65,open ,close,close,Not Available,on,Not Available,on,Not Available,Not Available,33,33.5,59.5,0.82,26,31.4,56.8
302,"Sunday, May 19, 2019",19:51,L2,33,Male ,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.65,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,34.2,33.2,63.7,0.42,21,31.4,56.8
303,"Sunday, January 27, 2019",12:25,L2,34,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.39,open ,open ,open ,Not Available,off,Not Available,off,Not Available,Not Available,26.4,26.2,53.1,0.14,33,23.5,56.8
304,"Sunday, January 27, 2019",17:15,L2,34,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,26.5,27.1,45,0,65,23.5,56.8
305,"Sunday, May 19, 2019",12:08,L2,34,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.41,open ,close,close,Not Available,on,Not Available,on,Not Available,Not Available,33.1,33.5,59.4,1.02,26,31.4,56.8
306,"Sunday, May 19, 2019",19:50,L2,34,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.41,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,34.2,33.2,64.1,0.48,16,31.4,56.8
307,"Sunday, September 2, 2018",12:20,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,1.2,0.78,open ,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,28.1,28.6,76.7,0.38,7,24.5,56.8
308,"Sunday, September 2, 2018",16:37,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,1.2,0.78,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.2,29.1,75.4,0.13,4,24.5,56.8
309,"Sunday, September 2, 2018",19:06,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2,0.78,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,28.4,29,75.3,0.13,23,24.5,56.8
310,"Sunday, January 27, 2019",12:30,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2,0.78,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,26.5,26.3,53,0,16,23.5,56.8
311,"Sunday, January 27, 2019",17:19,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2,0.29,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,26.8,26.3,42.9,0,15,23.5,56.8
312,"Sunday, January 27, 2019",20:12,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,1.2,0.78,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.9,26.1,48.4,0,22,23.5,56.8
313,"Sunday, May 19, 2019",12:19,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2,0.78,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,33.6,33.8,60.2,0,44,31.4,56.8
314,"Sunday, May 19, 2019",19:54,L2,26,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2,0.78,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,32.6,33.5,64.2,1.24,34,31.4,56.8
315,"Sunday, September 2, 2018",12:24,L2,30,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2,0.29,open ,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,28.1,28.7,75.6,0.31,8,24.5,56.8
316,"Sunday, September 2, 2018",16:37,L2,30,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,0.9,0.29,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.2,29.1,75.5,0.34,89,24.5,56.8
317,"Sunday, September 2, 2018",19:08,L2,30,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,0.7,0.29,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,27.7,29,75.6,0.21,32,24.5,56.8
318,"Sunday, May 19, 2019",12:20,L2,30,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,0.9,0.29,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,33.6,33.8,61.6,0,25,31.4,56.8
319,"Sunday, May 19, 2019",19:56,L2,30,Male ,10 years or more,Yes,Yes,Yes,Yes,No,No,Yes,No,No,1.9,0.29,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,32.6,33.5,64.4,0.81,35,31.4,56.8
320,"Sunday, January 27, 2019",12:02,L2,30,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.6,26,48.9,0,53,23.5,56.8
321,"Sunday, January 27, 2019",16:55,L2,30,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.29,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.9,26.5,46.7,0,3,23.5,56.8
322,"Sunday, January 27, 2019",19:51,L2,30,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25,25.5,53.7,0,54,23.5,56.8
323,"Sunday, January 27, 2019",12:06,L2,36,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.48,open ,open ,close,Down,on,Not Available,on,Not Available,Not Available,26,25.9,45,0,106,23.5,56.8
324,"Sunday, January 27, 2019",19:53,L2,36,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.48,close,close,close,Down,on,Not Available,off,Not Available,Not Available,25.5,25.6,53.6,0,71,23.5,56.8
325,"Sunday, January 27, 2019",12:34,L2,40,Male ,9 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.55,open ,close,close,Down,off,Not Available,on,Not Available,Not Available,26,26.4,47.8,0.67,34,23.5,56.8
326,"Sunday, January 27, 2019",17:04,L2,40,Male ,9 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.55,open ,close,close,Down,off,Not Available,off,Not Available,Not Available,26,26.1,57.1,0,8,23.5,56.8
327,"Sunday, January 27, 2019",20:00,L2,40,Male ,9 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.55,open ,close,close,Up,off,Not Available,off,Not Available,Not Available,25.3,25.8,49.1,0.11,24,23.5,49.1
328,"Sunday, January 27, 2019",12:36,L2,30,Female,9 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,close,Down,off,Not Available,on,Not Available,Not Available,26.1,26.5,45.7,0.75,13,23.5,49.1
329,"Sunday, January 27, 2019",17:21,L2,30,Female,9 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.78,open ,close,close,Down,off,Not Available,off,Not Available,Not Available,27,27.4,45.1,0,27,23.5,49.1
330,"Sunday, January 27, 2019",19:57,L2,30,Female,9 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,close,Up,off,Not Available,off,Not Available,Not Available,25.3,25.6,50.3,0,35,23.5,49.1
331,"Sunday, January 27, 2019",11:54,L2,25,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,25.2,25.9,48.7,0.11,12,23.5,49.1
332,"Sunday, January 27, 2019",16:51,L2,25,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,26.1,27.1,52.4,0,6,23.5,49.1
333,"Sunday, January 27, 2019",19:48,L2,25,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,close,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,25.3,25.6,55.7,0,16,23.5,49.1
334,"Sunday, January 27, 2019",11:36,L2,38,Male ,4 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.48,close,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,25.3,25.9,49.3,0.12,15,23.5,49.1
335,"Tuesday, September 4, 2018",11:51,L2,29,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,0.29,close,open ,close,Up,on,off,on,off,Not Available,28.8,29.6,80,0.54,29,25,49.1
336,"Tuesday, September 4, 2018",17:11,L2,29,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0.7,0.29,close,close,close,Down,on,off,on,off,Not Available,29.1,29.3,82.6,0.17,10,25,49.1
337,"Tuesday, September 4, 2018",19:25,L2,29,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,0.29,open ,close,close,Down,on,on,on,off,Not Available,29.4,29.1,82,0.41,40,25,49.1
338,"Friday, January 18, 2019",11:48,L2,29,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,0.29,close,open ,open ,Up,off,off,off,off,Not Available,27.4,27.7,51.1,0.13,11,25.7,49.1
339,"Friday, January 18, 2019",15:50,L2,29,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0.9,0.29,close,close,close,Down,off,off,on,off,Not Available,29.8,29.5,54.1,0.16,2,25.7,49.1
340,"Friday, January 18, 2019",19:26,L2,29,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,0.29,open ,close,open ,Up,on,off,off,off,Not Available,27.3,26.7,49,0,80,25.7,49.1
341,"Thursday, May 9, 2019",11:40,L2,29,Female,2 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,2,0.78,open ,open ,close,Down,on,Not Available,on,off,Not Available,31.1,31.5,62.8,0.63,48,29.2,49.1
342,"Thursday, May 9, 2019",18:27,L2,29,Female,2 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.78,open ,close,close,Not Available,on,Not Available,on,on,Not Available,31.8,31.4,61.9,0.85,29,29.2,49.1
343,"Friday, May 10, 2019",14:25,L2,29,Female,2 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.29,,,,Not Available,,Not Available,on,,Not Available,31.7,32.4,61.6,0.4,17,29.1,49.1
344,"Friday, January 18, 2019",11:42,L2,59,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,0.7,open ,close,close,Up,off,off,off,Not Available,Not Available,27.5,27.9,47.1,0,51,25.7,49.1
345,"Friday, January 18, 2019",15:31,L2,59,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0.9,0.7,open ,close,close,Up,on,off,off,Not Available,Not Available,30.3,30.8,44.9,0,94,25.7,49.1
346,"Friday, January 18, 2019",20:18,L2,59,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1.9,0.7,close,close,open ,Down,on,off,off,Not Available,Not Available,25.9,25.2,55.4,0.1,41,25.7,49.1
347,"Thursday, May 9, 2019",11:42,L2,59,Female,2 years,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1.2,0.78,open ,close,close,Not Available,on,off,on,Not Available,Not Available,32.3,31.8,64.8,0.34,41,29.2,49.1
348,"Thursday, May 9, 2019",18:24,L2,59,Female,2 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,1.2,0.78,open ,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,30.8,30.9,61.7,0.98,65,29.2,49.1
349,"Friday, May 10, 2019",14:23,L2,59,Female,2 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,1.2,0.78,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,31.6,32.7,62.4,0.87,13,29.1,49.1
350,"Tuesday, September 4, 2018",11:58,L2,40,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.44,open ,open ,close,Up,on,off,on,Not Available,Not Available,29.1,29.5,75.4,1.2,20,25,49.1
351,"Tuesday, September 4, 2018",17:17,L2,40,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.9,0.44,open ,open ,close,Up,off,off,on,Not Available,Not Available,28.7,29.3,74.5,0.47,4,25,49.1
352,"Tuesday, September 4, 2018",19:30,L2,40,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.9,0.44,open ,close,close,Up,on,off,on,Not Available,Not Available,29.3,29.4,73.8,0.46,63,25,49.1
353,"Friday, January 18, 2019",16:34,L2,40,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.7,0.44,open ,open ,close,Up,off,off,on,Not Available,Not Available,29.1,29.3,51.2,0.25,38,25.7,49.1
354,"Friday, January 18, 2019",20:10,L2,40,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.44,open ,open ,close,Up,on,off,off,Not Available,Not Available,26,25.7,51.9,0,56,25.7,49.1
355,"Thursday, May 9, 2019",11:46,L2,40,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.44,open ,open ,close,Up,off,Not Available,on,Not Available,Not Available,31.4,31.9,57.5,0.52,20,29.2,49.1
356,"Thursday, May 9, 2019",18:34,L2,40,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.44,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,30.9,31.3,60.5,0.23,1,29.2,49.1
357,"Friday, May 10, 2019",14:30,L2,40,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.74,open ,open ,close,Up,off,Not Available,on,Not Available,Not Available,31.5,32.1,59.5,0.42,17,29.1,49.1
358,"Friday, January 18, 2019",11:17,L2,45,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0.44,close,open ,close,Up,off,off,off,Not Available,Not Available,28.6,27.8,52.9,0,268,25.7,49.1
359,"Friday, January 18, 2019",16:36,L2,45,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1.2,0.44,open ,open ,close,Up,off,off,on,Not Available,Not Available,29,29.5,53,0.23,135,25.7,49.1
360,"Friday, January 18, 2019",11:21,L2,21,Male ,2 years,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0.9,0.69,close,open ,close,Up,off,off,off,Not Available,Not Available,28.9,28.9,52.4,0,347,25.7,49.1
361,"Tuesday, September 4, 2018",12:08,L2,26,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.29,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.2,29.6,72.4,0.16,36,25,49.1
362,"Tuesday, September 4, 2018",17:27,L2,26,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.29,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,30.1,30.5,69.4,0.87,5,25,49.1
363,"Tuesday, September 4, 2018",19:37,L2,26,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.29,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.7,29.6,71.9,0.58,121,25,49.1
364,"Friday, January 18, 2019",11:28,L2,26,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,0.56,close,close,open ,Down,off,Not Available,off,Not Available,Not Available,29.1,29.2,48.9,0,6,25.7,49.1
365,"Friday, January 18, 2019",15:40,L2,26,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.56,open ,open ,close,Down,off,Not Available,off,Not Available,Not Available,30.2,29.9,48.4,0,5,25.7,49.1
366,"Friday, January 18, 2019",19:35,L2,26,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.9,0.93,close,close,close,Down,on,Not Available,off,Not Available,Not Available,28,26.9,53.9,0,81,25.7,49.1
367,"Tuesday, September 4, 2018",12:11,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.7,0.44,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.3,29.7,71,0.57,51,25,49.1
368,"Tuesday, September 4, 2018",17:26,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.44,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,30,30.4,69.5,1.2,16,25,49.1
369,"Tuesday, September 4, 2018",19:39,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.44,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.6,29.9,71.2,0.63,111,25,49.1
370,"Friday, January 18, 2019",11:30,L2,50,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.7,0.44,close,open ,open ,Down,off,Not Available,off,Not Available,Not Available,28.7,28.5,51.1,0,114,25.7,49.1
371,"Friday, January 18, 2019",15:43,L2,50,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.44,close,open ,close,Down,off,Not Available,on,Not Available,Not Available,30.5,30.5,49.6,0.23,36,25.7,49.1
372,"Friday, January 18, 2019",19:33,L2,50,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.93,close,open ,close,Down,on,Not Available,off,Not Available,Not Available,28.6,27.2,46,0,69,25.7,49.1
373,"Thursday, May 9, 2019",11:53,L2,50,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.44,open ,open ,close,Down,off,Not Available,on,Not Available,Not Available,31.1,31.7,62.1,0.43,15,29.2,49.1
374,"Thursday, May 9, 2019",18:39,L2,50,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.44,open ,open ,close,Down,off,Not Available,off,Not Available,Not Available,30.6,31.2,60.8,0.45,100,29.2,49.1
375,"Friday, May 10, 2019",14:39,L2,50,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.44,close,close,close,Down,off,Not Available,on,Not Available,Not Available,32.2,32.8,64.8,0.35,10,29.1,53.1
376,"Tuesday, September 4, 2018",12:13,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.29,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.4,29.8,70.9,0.47,29,25,53.1
377,"Tuesday, September 4, 2018",17:23,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.29,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.8,30.1,70.7,0.4,15,25,53.1
378,"Tuesday, September 4, 2018",19:35,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.29,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.4,29.4,72.9,0.69,44,25,53.1
379,"Friday, January 18, 2019",11:32,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.71,open ,open ,close,Up,on,Not Available,on,Not Available,Not Available,29.1,28.8,45.1,0,216,25.7,53.1
380,"Friday, January 18, 2019",15:42,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.53,close,open ,open ,Down,off,Not Available,off,Not Available,Not Available,30.4,30.3,50.6,0.17,36,25.7,53.1
381,"Friday, January 18, 2019",19:30,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.9,0.53,close,open ,close,Down,off,Not Available,on,Not Available,Not Available,28.2,27.2,49.6,0,76,25.7,53.1
382,"Thursday, May 9, 2019",11:54,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.29,open ,open ,close,Down,off,Not Available,on,Not Available,Not Available,31.1,31.7,62.3,0.46,16,29.2,53.1
383,"Thursday, May 9, 2019",18:40,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.53,open ,open ,close,Down,off,Not Available,off,Not Available,Not Available,31.2,31.2,61.4,0.19,2,29.2,53.1
384,"Friday, May 10, 2019",14:40,L2,24,Male ,1 year,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.9,0.53,close,close,close,Down,off,Not Available,on,Not Available,Not Available,32.3,32.8,64.8,0.23,9,29.1,53.1
385,"Friday, January 18, 2019",11:37,L2,38,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.9,0.48,close,close,close,Up,off,Not Available,off,Not Available,Not Available,28.5,28.9,62.3,0,21,25.7,53.1
386,"Friday, January 18, 2019",15:39,L2,38,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.2,0.48,close,open ,close,Down,off,Not Available,on,Not Available,Not Available,30.2,30,50.3,0.2,15,25.7,53.1
387,"Friday, May 10, 2019",14:36,L2,38,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.2,0.48,close,open ,close,Up,off,Not Available,on,Not Available,Not Available,32.7,32.3,58.4,0.2,61,29.1,53.1
388,"Tuesday, September 4, 2018",12:23,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.78,close,close,close,Down,on,Not Available,off,Not Available,Not Available,28.2,28.8,77.2,0.12,41,25,53.1
389,"Tuesday, September 4, 2018",17:43,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.29,close,open ,open ,Up,on,Not Available,off,Not Available,Not Available,27.8,28.5,76.9,0.18,42,25,53.1
390,"Tuesday, September 4, 2018",19:54,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,27.7,28.5,79.2,0.06,22,25,53.1
391,"Friday, January 18, 2019",11:59,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.9,28.5,42,0,132,25.7,53.1
392,"Friday, January 18, 2019",19:59,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.78,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,26.8,27.4,48.2,0,23,25.7,53.1
393,"Thursday, May 9, 2019",12:23,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,31.2,31.9,58.1,0.38,56,29.2,53.1
394,"Thursday, May 9, 2019",17:50,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.78,open ,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,30.4,31,59.8,1.08,31,29.2,53.1
395,"Friday, May 10, 2019",14:57,L2,26,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.78,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,32.1,32.3,57.8,0.43,49,29.1,53.1
396,"Tuesday, September 4, 2018",12:20,L2,59,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.55,close,open ,open ,Not Available,on,Not Available,ON,Not Available,Not Available,27.9,29.1,80.1,0.94,97,25,53.1
397,"Tuesday, September 4, 2018",17:45,L2,59,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.55,close,open ,open ,Up,on,Not Available,OFF,Not Available,Not Available,27.6,28.5,77.5,0.12,47,25,53.1
398,"Tuesday, September 4, 2018",19:57,L2,59,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.55,open ,open ,open ,Not Available,on,Not Available,OFF,Not Available,Not Available,27.2,28.4,77.6,0.13,34,25,53.1
399,"Tuesday, September 4, 2018",12:32,L2,62,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,2,0.78,close,open ,open ,Down,on,Not Available,on,Not Available,Not Available,28.3,28.8,75.8,0.25,38,25,53.1
400,"Tuesday, September 4, 2018",20:00,L2,62,Female,3 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.9,0.78,close,open ,open ,Down,on,Not Available,on,Not Available,Not Available,27.5,28.1,81.8,0.25,74,25,53.1
401,"Friday, January 18, 2019",12:17,L2,62,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.2,0.78,close,open ,close,Up,on,Not Available,on,Not Available,Not Available,27.8,29.1,42.4,0.2,162,25.7,53.1
402,"Friday, January 18, 2019",16:05,L2,62,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,0.9,0.78,close,open ,close,Up,on,Not Available,on,Not Available,Not Available,28,28.8,44.7,0.18,62,25.7,53.1
403,"Friday, January 18, 2019",19:41,L2,62,Female,5 years,Yes,Yes,Yes,Yes,No,No,No,No,Yes,1.9,0.69,close,open ,open ,Down,on,Not Available,on,Not Available,Not Available,26.6,26.6,51.4,0.32,64,25.7,53.1
