Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
224,"Monday, May 6, 2019",11:32,L1,30,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.56,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,30.9,31.2,71,0.41,48,29.8,76.6
225,"Monday, May 6, 2019",13:52,L1,30,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.56,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,30.4,31.3,68.3,0.9,37,29.8,76.6
226,"Tuesday, January 22, 2019",11:53,L1,23,Female,Less than 1 year,Yes,No,No,Yes,No,No,No,No,Yes,0.9,0.46,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,26.3,27.3,60,0.05,61,24.8,81.4
227,"Wednesday, January 23, 2019",15:36,L1,23,Female,Less than 1 year,Yes,No,No,Yes,No,No,No,No,Yes,0.9,0.56,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,26.2,26.9,57.2,0.11,43,24.3,81.4
228,"Wednesday, January 23, 2019",17:34,L1,23,Female,Less than 1 year,Yes,No,No,Yes,No,No,No,No,Yes,0.9,0.46,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,26,27,53.1,0.12,185,24.3,81.4
229,"Tuesday, January 22, 2019",11:55,L1,41,Female,Less than 1 year,Yes,No,No,Yes,No,No,No,No,Yes,1.2,0.56,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,28.3,27.4,55.4,0.05,64,24.8,81.4
230,"Wednesday, January 23, 2019",15:30,L1,41,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.29,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.9,26.7,53.9,0,37,24.3,81.4
231,"Wednesday, January 23, 2019",15:32,L1,18,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.46,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,26.1,26.7,52.7,0.11,35,24.3,81.4
232,"Wednesday, January 23, 2019",17:38,L1,18,Female,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.56,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,26.8,26.6,70.3,0.34,150,24.3,81.4
233,"Wednesday, January 23, 2019",15:52,L1,51,Male ,5 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.4,open ,close,open ,Not Available,off,Not Available,off,off,Not Available,27,27.3,57.1,0.18,183,24.3,81.4
234,"Wednesday, January 23, 2019",17:56,L1,51,Male ,5 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.4,open ,close,open ,Not Available,on,Not Available,off,off,Not Available,25.8,26.2,51.6,0.17,77,24.3,81.4
235,"Monday, May 6, 2019",14:06,L1,51,Male ,5 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.4,open ,close,open ,Not Available,on,Not Available,on,off,Not Available,31.6,32.4,65.6,0.46,102,29.8,81.4
236,"Wednesday, January 23, 2019",15:58,L1,40,Female,5 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.56,open ,close,open ,Not Available,off,Not Available,off,off,Not Available,27.1,27.5,55.9,0,113,24.3,81.4
237,"Wednesday, January 23, 2019",17:59,L1,40,Female,5 years,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.66,open ,close,open ,Not Available,on,Not Available,off,off,Not Available,26.1,26.1,52.2,0,77,24.3,81.4
238,"Sunday, September 2, 2018",11:00,L2,38,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,No,No,2,0.29,open ,open ,open ,Not Available,on,Not Available,off,Not Available,Not Available,27.4,28.2,83.3,0.18,70,24.5,81.4
239,"Sunday, September 2, 2018",16:01,L2,38,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.29,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,27.8,27.8,79,0.83,4,24.5,81.4
240,"Sunday, September 2, 2018",18:40,L2,38,Female,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.41,open ,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,27.6,28,78.3,0.11,89,24.5,81.4
241,"Sunday, September 2, 2018",11:05,L2,37,Male ,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.9,0.54,open ,open ,open ,Not Available,on,Not Available,on,Not Available,Not Available,27.6,28.1,82.1,0.21,75,24.5,81.4
242,"Sunday, September 2, 2018",16:06,L2,37,Male ,Less than 1 year,Yes,Yes,Yes,Yes,No,Yes,No,No,No,1.2,0.29,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,27.8,28.2,77.8,0.14,95,24.5,81.4
