,Temp C
2022-07-20 07:15:00,23.4386
2022-07-20 07:30:00,23.4178
2022-07-20 07:45:00,23.415399999999998
2022-07-20 08:00:00,23.553800000000003
2022-07-20 08:15:00,23.665000000000003
2022-07-20 08:30:00,23.794766666666664
2022-07-20 08:45:00,23.949333333333335
2022-07-20 09:00:00,24.127000000000002
2022-07-20 09:15:00,24.293466666666667
2022-07-20 09:30:00,24.446366666666666
2022-07-20 09:45:00,24.577533333333335
2022-07-20 10:00:00,24.694266666666667
2022-07-20 10:15:00,24.7926
2022-07-20 10:30:00,24.884766666666668
2022-07-20 10:45:00,24.963
2022-07-20 11:00:00,24.9938
2022-07-20 11:15:00,25.0002
2022-07-20 11:30:00,25.0274
2022-07-20 11:45:00,25.04666666666667
2022-07-20 12:00:00,25.073066666666666
2022-07-20 12:15:00,25.105999999999998
2022-07-20 12:30:00,25.0892
2022-07-20 12:45:00,25.0625
2022-07-20 13:00:00,25.045833333333334
2022-07-20 13:15:00,25.0338
2022-07-20 13:30:00,25.017
2022-07-20 13:45:00,25.059166666666666
2022-07-20 14:00:00,25.07793333333333
2022-07-20 14:15:00,25.11
2022-07-20 14:30:00,25.137999999999998
2022-07-20 14:45:00,25.1284
2022-07-20 15:00:00,25.11
2022-07-20 15:15:00,25.1324
2022-07-20 15:30:00,25.143666666666665
2022-07-20 15:45:00,25.1445
2022-07-20 16:00:00,25.1204
2022-07-20 16:15:00,25.1268
2022-07-20 16:30:00,25.1116
2022-07-20 16:45:00,25.121199999999998
2022-07-20 17:00:00,25.139599999999998
2022-07-20 17:15:00,25.1164
2022-07-20 17:30:00,25.0836
2022-07-20 17:45:00,25.1084
2022-07-20 18:00:00,25.1308
2022-07-20 18:15:00,25.155233333333335
2022-07-20 18:30:00,25.207800000000002
2022-07-20 18:45:00,25.215
2022-07-20 19:00:00,25.215
2022-07-20 19:15:00,25.203
2022-07-20 19:30:00,25.171733333333336
2022-07-20 19:45:00,25.13083333333333
2022-07-20 20:00:00,25.0763
2022-07-20 20:15:00,25.037033333333333
2022-07-20 20:30:00,24.958866666666665
